"dMSC","dMC","dFK","iKC","rp"
1,20,0.1,0,1
5,20,0.1,0,1
20,20,0.1,0,1
1,40,0.1,0,1
5,40,0.1,0,1
20,40,0.1,0,1
1,80,0.1,0,1
5,80,0.1,0,1
20,80,0.1,0,1
1,20,0.4,0,1
5,20,0.4,0,1
20,20,0.4,0,1
1,40,0.4,0,1
5,40,0.4,0,1
20,40,0.4,0,1
1,80,0.4,0,1
5,80,0.4,0,1
20,80,0.4,0,1
1,20,0.8,0,1
5,20,0.8,0,1
20,20,0.8,0,1
1,40,0.8,0,1
5,40,0.8,0,1
20,40,0.8,0,1
1,80,0.8,0,1
5,80,0.8,0,1
20,80,0.8,0,1
1,20,0.1,0,2
5,20,0.1,0,2
20,20,0.1,0,2
1,40,0.1,0,2
5,40,0.1,0,2
20,40,0.1,0,2
1,80,0.1,0,2
5,80,0.1,0,2
20,80,0.1,0,2
1,20,0.4,0,2
5,20,0.4,0,2
20,20,0.4,0,2
1,40,0.4,0,2
5,40,0.4,0,2
20,40,0.4,0,2
1,80,0.4,0,2
5,80,0.4,0,2
20,80,0.4,0,2
1,20,0.8,0,2
5,20,0.8,0,2
20,20,0.8,0,2
1,40,0.8,0,2
5,40,0.8,0,2
20,40,0.8,0,2
1,80,0.8,0,2
5,80,0.8,0,2
20,80,0.8,0,2
1,20,0.1,0,3
5,20,0.1,0,3
20,20,0.1,0,3
1,40,0.1,0,3
5,40,0.1,0,3
20,40,0.1,0,3
1,80,0.1,0,3
5,80,0.1,0,3
20,80,0.1,0,3
1,20,0.4,0,3
5,20,0.4,0,3
20,20,0.4,0,3
1,40,0.4,0,3
5,40,0.4,0,3
20,40,0.4,0,3
1,80,0.4,0,3
5,80,0.4,0,3
20,80,0.4,0,3
1,20,0.8,0,3
5,20,0.8,0,3
20,20,0.8,0,3
1,40,0.8,0,3
5,40,0.8,0,3
20,40,0.8,0,3
1,80,0.8,0,3
5,80,0.8,0,3
20,80,0.8,0,3
1,20,0.1,0,4
5,20,0.1,0,4
20,20,0.1,0,4
1,40,0.1,0,4
5,40,0.1,0,4
20,40,0.1,0,4
1,80,0.1,0,4
5,80,0.1,0,4
20,80,0.1,0,4
1,20,0.4,0,4
5,20,0.4,0,4
20,20,0.4,0,4
1,40,0.4,0,4
5,40,0.4,0,4
20,40,0.4,0,4
1,80,0.4,0,4
5,80,0.4,0,4
20,80,0.4,0,4
1,20,0.8,0,4
5,20,0.8,0,4
20,20,0.8,0,4
1,40,0.8,0,4
5,40,0.8,0,4
20,40,0.8,0,4
1,80,0.8,0,4
5,80,0.8,0,4
20,80,0.8,0,4
1,20,0.1,0,5
5,20,0.1,0,5
20,20,0.1,0,5
1,40,0.1,0,5
5,40,0.1,0,5
20,40,0.1,0,5
1,80,0.1,0,5
5,80,0.1,0,5
20,80,0.1,0,5
1,20,0.4,0,5
5,20,0.4,0,5
20,20,0.4,0,5
1,40,0.4,0,5
5,40,0.4,0,5
20,40,0.4,0,5
1,80,0.4,0,5
5,80,0.4,0,5
20,80,0.4,0,5
1,20,0.8,0,5
5,20,0.8,0,5
20,20,0.8,0,5
1,40,0.8,0,5
5,40,0.8,0,5
20,40,0.8,0,5
1,80,0.8,0,5
5,80,0.8,0,5
20,80,0.8,0,5
